songFileName,playLength,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Welcome.started,text.started,Welcome.stopped,ITI.started,get_ready.started,ITI.stopped,sound_playback.started,resp.time,resp.velocity,stimulus.started,tap.started,tap.stopped,stimulus.stopped,sound_playback.stopped,get_ready.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Beethoven_SinfNr9.wav,15,0,0,0,0,0,0,1,,,,,,,,,,,16.199002417000884,53,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Beethoven_SinfNr9.wav,15,0,0,0,0,0,0,1,,,,,,,,,,,16.63919291699858,30,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Beethoven_SinfNr9.wav,15,0,0,0,0,0,0,1,,,,,,,,,,,17.09266545799619,37,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Beethoven_SinfNr9.wav,15,0,0,0,0,0,0,1,,,,,,,,,,,17.55955008300225,23,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Beethoven_SinfNr9.wav,15,0,0,0,0,0,0,1,,,,,,,,,,,18.026440000001458,22,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Beethoven_SinfNr9.wav,15,0,0,0,0,0,0,1,,,,,,,,,,,18.506613332996494,18,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Beethoven_SinfNr9.wav,15,0,0,0,0,0,0,1,,,,,,,,,,,18.960157082998194,24,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Beethoven_SinfNr9.wav,15,0,0,0,0,0,0,1,,,,,,,,,,,19.38699083300162,13,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Beethoven_SinfNr9.wav,15,0,0,0,0,0,0,1,,,,,,,19.54713904199889,19.559788083002786,24.549297167002806,,,,,,,19.559788083002786,19.54712650000147,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,24.57543616699695,,,,,,,,,24.561121624996304,24.561143332997744,7,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,28.430901916995936,14,24.565337791664447,24.57543616699695,25.575736083002994,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,29.231344082996657,23,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,30.258393374999287,13,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,31.09878029199899,22,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,32.29932312500023,9,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,33.246383625002636,13,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,34.126746624999214,12,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,36.07433479199972,17,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,36.847870332996536,17,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,37.55486841699894,20,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,38.40857029199833,19,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Skrjabin_Prelude1.wav,15,1,1,0,0,1,1,4,,,,,,,,,,,39.50233820799622,11,,,,,,,pilot,001,2026-03-24_16h29.24.115,waltz,,2026.1.2,2026-03-24 16h29.24.406520 +0100,
