songFileName,playLength,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Welcome.started,text.started,Welcome.stopped,ITI.started,get_ready.started,get_ready.stopped,ITI.stopped,sound_playback.started,stimulus.started,tap.started,tap.stopped,resp.time,resp.velocity,stimulus.stopped,sound_playback.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,17.155343084001288,48,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,17.45535487500092,16,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,18.0386822090004,74,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,18.34702429200115,8,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,18.62209783400067,6,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,18.938924584001143,79,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,19.230449917000442,10,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,19.513783209000394,11,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,19.813761209001314,86,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
/Users/jellevanderwerff/workshop_2026/waltz_experiment/resources/K_Alfven_Midsomm.wav,15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,20.113770417001433,13,,,pilot2,001,2026-03-23_23h22.45.524,waltz,,2026.1.2,2026-03-23 23h22.45.728639 +0100,
